title,author,review,genre,erotic,grotesque,insane,paranomal,esthetic,action,painful,mystery,date,ISBN
近畿地方のある場所について,背筋,"被害者サイドの記す書簡体恐怖小説。基本的に黒幕に操作されて読者へ術式の開示による呪力の底上げを狙っているけれど抵抗してもいるのでそのせめぎあいが妙。でも、呪い全体がネズミ講の形をとっている（実際にねずみ講やカルトを怪異が利用してもいる）ので黒幕に見えるのも上位の会員でしかないというオチはありそう。その辺クトゥルフ神話っぽい。何であれ、彼らは人だったのだ。そういう元人間の会員の人間的なクセや執着によって嫌な感じが醸し出されているが、果たして根本には恐怖すべき何かがあるのだろうか。そういう意味で人間が一番怖い

断片的な情報が綴られた、ドキュメンタリー形式の小説。 何と何がつながっているのか、 記憶力がないので、混乱。 文章を読み進める上で、自分のなかでイメージしていたものの不気味さが最後の袋とじで 具体的な絵や写真となりリアリティが増すことで恐怖感も倍増。見なきゃよかった…

かなり怖いホラー小説と言う事で。ここ最近怖いと言われるホラーものは、ネットの書き込みや会話調で書かれた文章でリアルに偏って構成されていて、内容も「何だかよく分からなくて怖いでしょ」みたいな方向で怖がらせるものが目に付くなあと。昔の「ホラー小説」は作者が読者の想像力を試すようなところもあって、そのために行間や情景描写、そのための言葉までも厳選していて日本語が上手い作家さんだと「文字を読むだけで想像して怖い」本もあったけど…最後の袋とじの中身を見て読者の想像はいらないのか、とがっかりしてしまいました。

怖かった。 著者は、赤い女に選ばれ、本書を媒介として呪いを広める役割を請負ったようだ。

再読。気持ち悪い読後感な。モデルの場所は生駒市〜生駒郡あたりかなと思いながら読んでいくと案外身近にやばい場所はあるのですみたいな感覚になる。何も解決してないし感染系だし厭な話。最初に読んだときのドキドキ怖い怖い感覚は薄れてきてレポとして読んだがやはり面白い。まさるの石≒祠の石≒カルト集団の石≒老人ホームの石なんだろうが集団自殺のあった老人ホームは関東らしいけどあの石は今どこにあるんでしょうね。神社の由緒書きの残ってる部分も怖いのでフルで読んでみたかった。あえて情報を削いでいるのが良いアクセントになってる。",ホラー,1,2,5,5,1,1,1,4,2025年5月31日,9784047375840
右園死児報告,真島文吉,"報告書形式のホラー？斬新！と思って読みはじめて、気づいたらミリタリー系のSFになっていた…。おもろいけどなんか違った。

思ってたのとだいぶ違う面白さがあった。後半あんな展開になるとは思いも寄らなかったから、前半結構ぼんやりサラサラと読んじゃったのが悔やまれる。そのうち読み返す！ 前半のSCPぽいパートは紙の書籍って形態には合ってない気がした。

前半は｢右園死児｣について淡々と報告する文書であり、｢右園死児｣自体は物体や非物体等様々な形で存在しているようで、終始得体の知れないものに恐る恐る触れるような、非常に不気味さを感じた。ただ、後半から｢右園死児｣に対しての、人々の衝突が前面に書かれる報告が主になってくる。最終的には報告書にでてきた人達のヒューマンドラマが展開されるが、感情移入していいのか、いやしようとしてもここから感情移入はしにくいな…みたいな感じで読みながら思った次第だった。前半の不気味さを感じたい人は是非。

右園死児と名の付いた存在は、恐ろしい災厄を伴う超常現象を引き起こす。国はこの未知なる脅威に対抗するため、国民に対して通報を奨励し、軍を使って関与した者を捕らえ、処分し、あわせて報告書にとりまとめて広くこれを公開した。物語前半は淡々とした報告書形式でSCPっぽい。後半から報告書に記された人間たちが災厄をもって災厄に立ち向かうアツい展開に変わる。主に無味乾燥な報告書でしかキャラのことが語られないので、それぞれのバックグラウンドとかパーソナリティをもっと知りたい気持ち。さくっと軽く読めて満足度も高め。

結局何が何なのかよくわからなかったけど、わからないなりに面白かった。モキュメンタリーをイメージして読んだので良い意味で裏切られた。パニックホラー風ダークファンタジーというか…。内容は新鮮なはずなのに読みながら関連性の薄い色々な作品を思い出して、不思議と懐かしい気持ちになって、楽しかった。グロは苦手だけど、詳細な描写は無いので耐えられた。故に、書籍化されていない部分、実際にこの騒動に携わった人々がどう生きたのかとても興味が湧いた。ここからどんどん広がっていってほしい世界観。","SF, ホラー",1,3,2,5,1,5,1,1,2025年5月31日,9784047380455
呪怨,大石圭,"実は映画の呪怨を完全に観たことがない。チラッとだけ観たことあるけど、布団のなかが怖くなった。これ、映像が先でしたか...。伽椰子の心の内を知れば観られるかもしれないと思ったけど辛いだけだった。巡る恨みの連鎖。最後の伽椰子の話が特に辛い…

映画は１０数年前に視聴済みだが、内容はあまり覚えてなかった。「呪怨」の元ともなった伽耶子は結局安穏な人生はほとんど送れず、剛雄にも不倫を疑われて殺される事となる。色んなものが積み重なって出来た結果、怨念でもって剛雄を殺し、不幸の連鎖を引き起こすことになるが、伽耶子の心情が深堀されているため、伽耶子が何故このような凶行に及んだかは多少理解出来た。映画を見た当時は「対して面白くない」と評価を下していたが、小説版の方がはるかに真に迫っていてクオリティは高いと思う。

表紙が怖すぎてカバー必須。映画を見た記憶はあるけど内容は全く覚えてない。呪いの発生までの経緯がとても痛々しい。剛雄のほうがよっぽど怖い。

映画でしか観たことがなかったが、小説を読んで伽耶子が怨念を持つに至った経緯がわかった。小説内でも説明されるが、伽耶子以上に不幸な人生や死に方をした人はたくさんいる。だか、伽耶子はおぞましい程の怨念で次々に人々を呪い殺していく。この幽霊らしくない、人間くさいところが伽耶子という幽霊の魅力なのではないだろうか。ただ、確信したことが一つある。ホラーは映像でみるに限る。

ホラービデオが原作で、それを小説化。やっぱりカヤコは怖いが、その諸悪の根源はカヤコの夫の剛雄。カヤコもひどいストーカー女だったのだが、剛雄のカヤコへの仕打ちがとにかく酷い。大昔に見た呪怨のビデオの記憶が蘇った。",ホラー,3,5,5,5,1,1,3,2,2025年5月31日,9784043572045
禍,小田雅久仁,"肉、鼻、耳、が面白かった。他は微妙。どれも現実から地獄に落ちる話。日常からリアリティを保ちつつ空想世界にズラしていくのが難しいのか、心理描写が巧みで非現実の入口まではスリル満点なのに、境界を超えた瞬間にファンタジーが急発進する。古めかしい文体が放つ高尚な雰囲気に期待したものでなく、雑なファンタジーがデンと出てきて面食らう。文学を読んでたのにバチっとB級ホラーや陳腐なアニメに切り替わる感触。私がファンタジー好きで色々と見慣れてるせいか、ハデな空想ほど必要なリアリティの下地が不足してると感じる話が多い。

面白かった！本書結構分厚く読んでる期間が長かったので、かなりの時間変な世界にいる感覚を覚えてました。毎話すごい世界観の作り込みで不気味なワールドへの没入感を味わえました。身体の一部がテーマという気持ち悪さも良い。全部の話好きだったんですが、一番に思い出すのは、海辺で朽ちかけている夫婦を横目に、無数の灰色の怪物達が通り過ぎていくシーンです。凄い終末感でした。とんでもない迫力があって巨大な怪物が出す轟音が響いてるのに、それでも静けさが世界全体を包んでる、終わりってあんな感じなんだろうな。もう絶望とかじゃない。

体の部位をモチーフにした短編集。大賞を取っただけあって作者の筆力に圧倒される。どれも不気味で気味が悪く卑猥で吐き気がするが、この奇妙な世界に引き込まれ、素晴らしい文章力と構成力でスルスルと頭に入り映像化されて没入感が半端ない。個人的には耳の独創性と、鼻の閉鎖空間、目の異世界感が良かった。今作はSF色が濃いので、どれだけ気持ち悪くても楽しく読めたが、この作者が描く人間の闇とかは読むのが辛そう。物語の世界を造るのが上手い作家さんっぽいので、次作は是非ともSFファンタジーの長編を期待します。

初めて読む作家さん、第一印象は「病んだ物語だ」。改行が少ないのは、作品の雰囲気に合わせて意図的に選ばれているようで、緊張やプレッシャーみたいなのを文章で演出している感じを受けた。個人的には筒井康隆の文体を思い浮かべたけれど、それは自分だけの感覚かしら？。ホラーというよりは幻想小説、淡々と普段からずれていく、読んでいて足元がおぼつかなくなる不安、平行感覚を喪失するよな危うさ、自分が自分で無くなっていく狂気への誘い、ゆるゆる麻痺していくドラッグ感は、悪魔的で酔わされるようなヤバさで満ちている。

最初に小説家を自虐するような話を持ってきているのが、選手宣誓のように思えた。それに恥じないほどの多彩な表現があり、文章へのこだわりがうかがえた。「食書」は”本を食べる”ということを破滅の始まりとして書いていて、そういった入口が日常に潜んでいるんだろうか、と考えて怖くなった。「耳もぐり」は傑作だと思う。一人の体のなかに、複数の意識が同居する話は、それほど珍しくない。ただ、意識の変化が、地の文でシームレスに行われるのは面白い。もぐる前の”私”と、もぐられる前の”私”の描写が繋がっているのが凄く気味が悪い。","ファンタジー, ホラー",4,2,3,3,1,1,1,3,2025年5月31日,9784103197232
残穢,小野不由美,"映画見てる ゾクゾクする怖さ。 謎に迫るごとに過去の悲惨な出来などに繋がっていき、 そして大きな穢れに辿り着く。 映画とのちがい となりの団地まで穢れがあったとは。 思っていた以上長い期間この件を研究してた。7年？ 小説でお坊さん掛け軸隠してた？ 本当この話は小説でも映画でも怖い！ 自分の住んでいる、働いているところが30、40年前ですら何があったかよくわからないのに、 こんなにさかのぼると何が出てくるか、興味もあるが怖くもある。 たまに見たくなる作品でした。 25.4.19

ずっとほんのり怖い……ゾクゾクするわけではないけど、じわ〜っと怖さが広がってきて、家にいるのが何よりも好きなわたしでもちょっと家が怖くなるような作品でした。こういう、何の権限もない市井の人間が少しずつ調査を進めていく話って（ホラー以外でも）大好きなので、怖がりつつ楽しく読めました。たくさんの人に根気強くインタビューを重ねて、歴史を細かく調べて、点と点が徐々につながってゆく気持ちよさがあった。この家に引っ越してくる前、大島てるくらいは調べたけれど、土地の歴史を知りたいような、知ったら戻れないような……。

「私」＝小野不由美さん本人　であるように書かれていることや、ノンフィクションであるかのように書かれていることによる怖さがあった。伝聞で感染する怪異が示され、読者も祟りの流れに組み込まれかねないところや、謎が完全には解明されないところがとても良かった。

本書の「怖い」という高名（？）はかねがね承知していた。これまでに読んだ小野先生の作品の怖さの個性のようなものを思い浮かべ、どんな怖さなのだろう、とある意味怯えながらも楽しみにしていた。恐らく事実上起こった事以外加える事なく、忠実なルポなのだろうというのが自分の感想。だからこそ怖いとも言えるし、自分には及ばないだろうと高を括ることもできるように思った。まとまらない感想で申し訳ないです。

本を手元に置いておきたくないって、そういう事か〜。 ずっとここに穢れがある、みたいに感じちゃうもんな。でも読み終わってしまった時点でもう感染者なので、私はずっと置いておきます。 ノンフィクションっぽい書かれ方してて、怪異も根拠ありきのものやからリアルでいい。すごくいい。

最初の怪異の体験談は怖くて見入った。後半はミステリー読んでる気持ち。祟りではなく穢れが偶発的に発生していくの嫌すぎる",ホラー,1,1,2,5,1,1,2,3,2025年5月31日,9784101240299
をんごく,北沢陶,"作者がアンソロジーに寄せていた別の作品が好みだったので手に取る。タイトルから悍ましいホラーを想像していたら、バディもののゴーストバスターだった。ミッちゃんのキャラクターも愛嬌があって良い。怪異描写には粗さを感じるが、落ち着いてしっとりした文章が和ホラーと合う。今後も追いたい作家。

時代が大正時代末期なので台詞の言い回し全てを理解できたか怪しいけど雰囲気が充分。 命が尽きる前の家族への義兄の行いが無慈悲で一番こわかった。エリマキのキャラクターが良く、主人公の壮一郎も妻を失いながらも自暴自棄にならず周りが見えており好感がもてる。ホラーながらもエリマキと壮一郎との友情を感じた。 自分の中で一番強く想っている人物の顔がエリマキに投影されるが、自分なら誰が映し出されるのだろうと考える。もし魂が彷徨うことになったら私もエリマキに食べてもらいたい。食べながらも悲しみを分かってくれる良い奴だから。

図書館本。おもろーーーーーい！！！！めっちゃ好きな作品だった。横溝正史ミステリ＆ホラー大賞受賞（しかも三冠！）ということで、この賞めっちゃ私向きなのかも？となった。設定や文章もさることながら、キャラクターが本当に好き。エリマキ。そのビジュアル、人となり、人生。スピンオフないんすか？エリマキ大好きすぎる。異種間の関係性がすごく大好物なのでハマっちゃった。主人公のキャラもいい。好きすぎて持て余す感情とか形にしたら確定されることへの畏れとか、抱えているものに共感した。読後感も良い。ちゃんと恐怖描写もあり。

図書館で借りた本。とにかく面白くて一気読み。 大正時代の大阪が舞台。奥さんを早くに亡くし、未練が残る夫は巫女を頼る。巫女が言うには、奥さんはこの世にもあの世にもいないと言う。謎が徐々に解けていくところも面白く、エリマキという霊を食べる、存在も面白い。 大阪弁の言い回しも面白かった。 久しぶりに面白い本に巡り会えた。

大正時代が舞台のホラー 暗くておどろおどろしい話かとおもわれたけれど、エリマキと行動するようになってからはなんだかほんわかホラーになった。二人+巫女さんの関係が心地よいホラーでした",ホラー,1,1,3,4,1,4,3,1,2025年6月1日,9784041142653
本の背骨が最後に残る,斜線堂有紀,"ダークでグロテスクなおとぎ話。怖々覗き見してるうちに夢中になって前のめりになってしまうような感覚。おもしろかった。

7編の短編集だがどれもダークな話。短い話の中で様々なパターンのグロテスクを詰め込む。表紙は閲覧注意の警告なのか。『死して屍知る者無し』と『ドッペルイェーガー』が面白かった。

前情報があったので読むか迷ったのですが、怖いもの見たさ（読みたさ）で手に取ってしまいちょっと後悔。短編集。どれも後味の悪い何とも嫌な世界観。唯一、「金魚姫」だけは　天災ということで何とか受け入れられましたが。「美しい」とか「虜になる」という感想は全く持てませんでした。",ホラー,1,5,4,2,4,2,2,2,2025年6月1日,9784334100513
ノルウェイの森,村上春樹,"レイコさんと暮らしていた直子は病院へ入院して治療する事に。治療が上手く行き療養生活に戻るがそこでキズキ君のところへ旅立ってしまう。身の回りをきれいに片付けて。僕は直子と住もうと寮を出たのに…大学の友人の緑と彼女の父の見舞いに病院に行く。そこで僕が病室でキュウリを食べると父上も欲しがり食べる。これが彼の最期の食事かも。直子が亡くなり、僕は旅に出る。一カ月の旅行は僕の気持ちをひっぱりあげてはくれなかったし、直子の死が僕に与えた打撃をやわらげてもくれなかったが、レイコさんに幸せになりなさいと言われる。

直子の養生先を数度訪れ、手紙も書いたりしつつ、緑とじっとりと仲を深めていく僕。脳腫瘍で入院中の緑の父の看病に付き合わされたり、緑と仲違いしたり、退寮して生活を変えたりと、生活が少しずつ変化していく。が、突如として直子は自殺、僕はひどく衝撃を受け、放浪の旅に。かつて行動を共にした上級生、永沢の「自分を憐れむな」という警句に気づかされ、下宿先に戻った僕は直子の静養先で知り合ったレイコに諭され、緑と幸せになることを決意し、「どこでもない場所の真ん中」から緑を呼び続けるのだった。

この本を読んでいる間は、この本の世界観にすごく没入できました。 この世界で誠実に生きるといくことは、とても強さが必要ということを感じ、それが故に誠実でない生き方も自分のために肯定するべきだな〜と。 作中の性描写が多く、その意味について理解しきれていない部分がありますが、とても面白い読書でした。

主人公であるワタナベが直子などの複数の女性との関係を描いた。自分とワタナベは似ている部分があると感じた。ワタナベは直子を本当の意味で愛そうとしていたが、それが達成できたかどうかはわからないまま直子は自殺を選択してしまう。直子は元彼のキズキの自殺でぽっかり空いてしまった穴をワタナベによって塞ごうとしたのではないか。ワタナベはそれに快く応じたが、途中からそれは「直子への癒着」となってしまう。緑や突撃隊についてもあったが複雑に絡みすぎていて頭の整理が追いつかない。また、キズキがなぜ死んだのかを知りたい。

上下ともに性行為が軽いものとして綴られている。かと思えばあの一夜がなければ？あの一言（どうして寝なかったの）がなければ違ったのでは？ふたりが再会するには若すぎたのでは？、？がとまらない。そこで出てくるのがレイコさんだ。レイコさんは寮に７年いる。ここで年月は関係ないですよーと言われてる気分になる。読み進めていくにつれ「死は生の一部」に納得しざるを得なくなる。誰かの死に関してどうしようもないことで終わらせるのは簡単だ。実際どうしようもないのだ。その人が生きている限り。生きていたのだ。",純文学,5,1,1,1,1,1,4,5,2025年5月31日,9784062748681
告白,湊かなえ,"「人間標本」が合わなくて、なんでこの人評判いいんだろ？と思い有名なデビュー作であるこちらを読んでみた。めちゃくちゃ読みやすい。易しい言葉と衒いのない文章でするする読める。犯人たちが反省とか後悔とかせずずっと不満垂れ流してるのが面白かった。ラストの桜宮先生のムーブはちょっと冷めた。

酷い話だった気分が悪い、ナレーターも酷かった🔸サブスクで良かった金は出せない🔸最後に対談があるが、そんな感じでやってるんだと分かり色々と残念🔸本の内容は出てくる人間がクズばかりで救いようがない、誰にも感情移入ができないしハラハラもしない🔸みんな闇を持っているんだよアピールが酷い、実際はただのわがまま🔸牛乳にエイズ患者の血液を入れたり、爆破落ちの爆弾場所を変えたりして、それが更生や復讐なのだろうか？

凄いな…これがデビュー作か… ちょっと触りだけと思って本を開いたのに、家事を後回しにして全部読んじゃった。 本を開いた時の文字のギュギュとした感じからは信じられないほど読みやすくて没入させていく筆力にため息が出た。 会えてなくても自分の娘を殺された父親がそんなことする？と思ったり、そうはならないでしょ…って思うところもあったけど、それを補って余りある魅力にやられた。 多分、湊かなえさんの著書は夜行観覧車をオーディブルで聞いただけだったから他のも読んでみたいと思った。

淡々とした語り口の告白から始まり読み進むにつれ、うちに秘められた怒りで言葉１つ１つがズッシリと重みを増していくような感覚でした。イジメの描写も悲惨で、幼稚な正義感が、こうも人を残酷にするのかと辛くなってきます。救いの無いお話ですが、それぞれの告白により真相が明らかになり深みが増していくのが素晴らしかったです。

語り手が変化していく形式が、この小説の内容にものすごくマッチしていた。オチも秀逸",ミステリー,1,1,5,1,1,3,1,1,2025年5月31日,9784575513448
穢れた聖地巡礼について,背筋,"「近畿地方のある場所について」を読みたかったが、我が図書館では結構な予約待ちなので、待ち無し読めるこの本を選んだ。突撃心霊スポット配信者チャンイケこと池田の「オカルトヤンキーch」。中でも屈指の再生数を誇る動画「変態小屋」「天国病院」。これに目を付けたフリーのベテラン編集者の小林。そして大阪の神社の娘で霊が見える怪談ライターの宝条を巻き込みファンブックを企画、KADOKAWAに売り込む。ただ其処にはある画策が潜んでいた。伏せられた情報を小出しにしながら、たどり着いた真相は意外な結末だった。
=
シンプルに、面白かったなぁ、と。 ホラーとしては前作と比べるとそこまで怖くはなかったけど、前作とは全く違ったスタイルで、いろんな書き方が出来るんだなと楽しく読ませてもらった。 でもどうやら自分は表面的にしか読めていなかったようで、いろんな人たちの考察を読んで初めて根っこの部分にあるモノが理解できた。 いや、なんとなくだけど。 めでたしめでたしで終わると思いきや不穏なラストで、チャンイケの事が心配。
=
話題の背筋さんの作品初読み。すごく怖いのかと思いきや、気持ち悪かったり不気味だったりはするものの、あまり怖くなかった。ストーリーが少しわかりにくくて、他の作品も似たような感じなら、読まなくてもいいかなとも。
=
話題の割りに私には微妙。ホラー系YouTuberのチャンイケこと池田とフリーライターの小林がファンブックを作ろうとして人気動画の肉付けをしてよりエンタメ要素という名のヤラセをしていく話／作業的に読んだせいか、あまり理解できなかった。幽霊よりも恐ろしいのは人間だよね。池田が体験した音楽の画像の女近づいてくる（？）現象も錯覚だったのかな？！考察サイトがあるらしいので見てみよう。
=
話題の背筋氏、初読み。どれだけ怖いかと覚悟して明るい時間に一気に読了。率直に言って「気持ち悪い、気味悪い」とは思ったがそんなに怖くなかった。(裏表紙のアイツも冒頭の写真も然り)。全体に会話文が多く読みやすかったしがわかりにくい部分が多かった。考察サイトを見てなるほどと思ったし「あなたの番」の理由にゾゾッとはしたけど、やっぱりもやもやが残った。結局人ならぬモノよりも、怨念や逆恨みする人間が一番怖いってことね。ただ、作家さんが「せすじ」と読むことがわかってよかった。「はいきん」だと思ってました…",ホラー,1,1,3,4,1,1,1,5,2025年5月31日,9784047380448
